name,Actor,Gender,Hair,Age,Occupation,Family,First Appearance,Last Appearance,Death Episode,Cause of Death,Status,Series Lifespan,Ethnicity
Judith Grimes,Adelaide & Eliza Cornwell (S3)Loudyn & Leighton Case (S3)[1]Tinsley & Anniston Price (S4) Eleora & Elisea DiFranco (S4)Sophia & Delia Oeland (S4)Charlotte & Clara Ward (S5) Kiley & Jaelyn Behun (S5)  Chloe & Sophia Garcia-Frizzi (S6)(S7)(S8)Kinsley Isla Dillon (S8) Chloe Garcia-Frizzi (S9) Cailey Fleming (S9),Female,Brown,"One week (""The Suicide King"")8 months (Season 5)9 months/11 months (Season 6)1 (Season 7)3 (""A New Beginning"")9 (""What Comes After"")",Student at the Alexandria Safe-Zone (Post-Apocalypse),Lori Grimes - Mother (Deceased)Shane Walsh - Father[2] (Deceased)Rick Grimes - Adoptive FatherCarl Grimes - Half-Brother (Deceased)Michonne - Adoptive MotherRick Grimes Jr. - Adoptive BrotherJean - Paternal Great-GrandmotherEvie - Possible Biological or Adoptive Aunt(Unnamed) - Maternal Grandmother (Deceased),"""Killer Within""",,,,Alive,"	    ""Killer Within"" to Present",Caucasian-American
Rick Grimes Jr.,Antony Azor,Male,Brown,5,,Rick Grimes - FatherMichonne - MotherJudith Grimes - Adoptive SisterCarl Grimes - Half-Brother (Deceased)Andre Anthony - Half-Brother (Deceased)Evie - Possible Biological Aunt,"""Who Are You Now?""",,,,Alive,"	    ""Who Are You Now?"" to Present",African/Caucasian-American
Rick Grimes,Andrew Lincoln,Male,Dark brown (Graying),Mid to Late 40s,King County Sheriff's Deputy (Pre-Apocalypse)Former Leader of the Atlanta Survivor Group (Post-Apocalypse)Former Constable for the Alexandria Safe-Zone (Post-Apocalypse)Former Leader of the Alexandria Safe-Zone (Post-Apocalypse)Former Co-Leader of the Militia (Post-Apocalypse),Lori Grimes - Former Wife (Deceased)Carl Grimes - Son (Deceased)Judith Grimes - Adopted Daughter[1]Rick Grimes Jr. - SonMichonne - Former GirlfriendEvie - Sister or Sister-In-Law(Unnamed) - Male Cousin(Unnamed) - Father (Deceased)(Unnamed) - Grandfather  (Deceased)(Unnamed) - Mother-In-Law (Deceased)(Unnamed) - Mother (Deceased),"""Days Gone Bye""","""What Comes After"" (Unknown)",,,Unknown,"	    ""Days Gone Bye"" to ""What Comes After"" (Unknown)",Caucasian-American
Carl Grimes,Chandler Riggs Unknown (Young),Male,Brown,12 (Season 1)13 (Season 3)14 (Season 4),Middle school student (Pre-Apocalypse)Member of the Militia (Post-Apocalypse),Rick Grimes - FatherLori Grimes - Mother (Deceased)Judith Grimes - Half-Sister[1]Rick Grimes Jr. - Half-BrotherEvie - Aunt(Unnamed) - Paternal Grandmother (Deceased)(Unnamed) - Paternal Grandfather (Deceased)(Unnamed) - Paternal Great-Grandfather (Deceased) (Unnamed) - Maternal Grandmother (Deceased)(Unnamed) - Paternal Male CousinEnid - Former Girlfriend,"""Days Gone Bye""","""What Comes After"" (Dream, Corpse)","""Honor""","Bitten on the rib by a walker. (Caused)Self-inflicted gunshot to the head to prevent reanimation. (Suicide, Before Reanimation, Off-Screen)",Dead,"	    ""Days Gone Bye"" to ""Honor""",Caucasian-American
Lori Grimes,Sarah Wayne Callies,Female,Brown,Early to Mid 30s,Housewife (Pre-Apocalypse),Rick Grimes - Former HusbandCarl Grimes - Son (Deceased)Judith Grimes - DaughterShane Walsh - Ex-Boyfriend (Deceased)Evie - Sister or Sister-In-Law(Unnamed) - Mother (Deceased)(Unnamed) - Father-In-Law (Deceased)(Unnamed) - Grandfather-In-Law (Deceased)(Unnamed) - Male Cousin-In-Law(Unnamed) - Mother-In-Law (Deceased),"""Days Gone Bye""","""What Comes After"" (Voice Only)","""Killer Within""","Died from blood loss during a caesarean section by Maggie Rhee in order to deliver her baby, Judith. (Alive)Shot in the head by Carl Grimes. (Before Reanimation, Off-Screen)",Dead,"	    ""Days Gone Bye"" to ""Killer Within""",Caucasian-American
Lambert Kendal,Jim R. Coleman,Male,Black,Mid to late 40s,Former member of the U.S. Military (Pre-Apocalypse)Sheriff's Deputy (Pre-Apocalypse),Unknown,"""Days Gone Bye""","""What Comes After"" (Dream, Corpse)",,,Unknown,"	    ""Days Gone Bye"" to ""Bloodletting"" (Flashback)",African-American
Shane Walsh,Jon Bernthal,Male,Black,Mid to Late 30s,King County Sheriff's Deputy (Pre-Apocalypse)Former Leader of the Atlanta Group (Post-Apocalypse)Head of Gun Training (Post-Apocalypse),Judith Grimes - Daughter[1] Jean - GrandmotherLori Grimes - Ex-Girlfriend (Deceased)Patty Taylor - Ex-Girlfriend (Deceased),"""Days Gone Bye""","""What Comes After"" (Dream)","""Better Angels""",Stabbed in the chest by Rick Grimes. (Alive)Shot in the head by Carl Grimes. (Zombified),Dead,"	    ""Days Gone Bye"" to ""Better Angels""",Caucasian-American
Leon Basset,Linds Edwards,Male,Brown,Early 30s,Sheriff's Deputy (Pre-Apocalypse),Unknown,"""Days Gone Bye""","""Bloodletting"" (Flashback)","""Days Gone Bye""",Bitten by a zombified Don or Patty (Alive)Shot in the head by Rick Grimes. (Zombified),Dead,"	    ""Days Gone Bye""",Caucasian-American
Morgan Jones,Lennie James,Male,Black,Mid to Late 40s,Former Soldier for the Kingdom (Post-Apocalypse)Former Member of the Militia (Post-Apocalypse),Jenny Jones - Former Wife (Deceased)Duane Jones - Son (Deceased),"""Days Gone Bye""","""What Comes After"" (Voice Only)",,,Unknown,"	    ""Days Gone Bye"" to ""Wrath"" (Unknown)",African-American
Jenny Jones,Keisha Tillis,Female,Black,Mid to late 30s,Unknown,Morgan Jones - Former HusbandDuane Jones - Son (Deceased),"""Days Gone Bye"" (Photograph)","""Bury Me Here"" (Flashback)","""Clear"" (Confirmed Fate)",Fever from infection. (Alive)Shot in the head by Morgan Jones. (Zombified),Dead,,African-American
Duane Jones,Adrian Kali Turner,Male,Black,12-14,Middle School Student (Pre-Apocalypse),Morgan Jones - FatherJenny Jones - Mother (Deceased),"""Days Gone Bye""","""Bury Me Here"" (Archive Footage)",,"Bitten by Jenny Jones, then succumbed to the infection.",Undead,"	    ""Days Gone Bye""",African-American
Paula,Kelley Davis,Female,Auburn,Early to mid 30s,Unknown,Tom - HusbandUnnamed - Child/Children,"""Bloodletting"" (Flashback)","""Bloodletting"" (Flashback)",,,Unknown,,Caucasian-American
Glenn Rhee,Steven Yeun,Male,Black,Mid 20s,Pizza Delivery Boy (Pre-Apocalypse)Supply Runner for the Atlanta Survivor Group (Post-Apocalypse) Former Prison Council Member (Post-Apocalypse)Former Supply runner for the prison  (Post-Apocalypse) Supply Runner for the Alexandria Safe-Zone (Post-Apocalypse),Maggie Rhee - Former Wife(Unnamed) - SistersHershel Greene - Father-In-Law (Deceased)Beth Greene - Sister-In-Law  (Deceased) Shawn Greene - Step-Brother-In-Law (Deceased)Josephine Greene - Mother-In-Law (Deceased)Hershel Rhee - Son,"""Days Gone Bye"" (Voice Only)""Guts""","""What Comes After"" (Dream, Corpse)","""The Day Will Come When You Won't Be""","Head smashed by Negan using his baseball bat, Lucille.",Dead,"	    ""Days Gone Bye"" to ""The Day Will Come When You Won't Be""",Korean-American
"Theodore ""T-Dog"" Douglas",IronE Singleton,Male,Black,Mid 30s,Former College Football Player (Pre-Apocalypse)Supply Runner for the Atlanta Camp (Post-Apocalypse),Unknown,"""Guts""","""What Comes After"" (Dream, Corpse)","""Killer Within""",Bitten and later devoured by walkers in order to save Carol Peletier,Dead,"	    ""Guts"" to ""Killer Within""",African-American
Dale Horvath,Jeffrey DeMunn,Male,White/Gray,64,Pensioner (Pre-Apocalypse),Irma Horvath - Wife (Deceased)Unborn Child  (Deceased),"""Days Gone Bye""","""What Comes After"" (Dream, Corpse)","""Judge, Jury, Executioner""",Disemboweled by a walker on Hershel Greene's farm. (Caused)Shot in the head by Daryl Dixon. (Out of Mercy),Dead,"	    ""Days Gone Bye"" to ""Judge, Jury, Executioner""",Caucasian-American
